time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,10.52,71.0,0.0,-0.0,0.0,284.82,1.98,303.0,99628.0
20180101:0100,10.09,71.37,0.0,-0.0,0.0,280.87,1.93,318.0,99686.0
20180101:0200,9.66,71.74,0.0,-0.0,0.0,276.93,1.87,340.0,99725.0
20180101:0300,9.23,72.11,0.0,-0.0,0.0,272.99,1.81,356.0,99783.0
20180101:0400,8.81,72.48,0.0,-0.0,0.0,269.05,1.76,6.0,99841.0
20180101:0500,8.38,72.84,0.0,-0.0,0.0,265.1,1.7,11.0,99870.0
20180101:0600,7.95,73.21,0.0,-0.0,0.0,261.16,1.64,7.0,99938.0
20180101:0700,7.52,73.58,0.0,-0.0,0.0,257.22,1.59,353.0,99996.0
20180101:0800,9.25,59.9,38.0,0.0,38.0,257.8,0.9,334.0,100113.0
20180101:0900,11.9,47.9,259.0,692.51,66.0,261.6,0.48,238.0,100190.0
20180101:1000,13.2,56.0,398.0,797.31,81.0,267.8,1.59,199.0,100229.0
20180101:1100,14.54,49.1,484.0,823.86,94.0,274.0,1.72,201.0,100200.0
20180101:1200,15.28,46.75,514.0,822.51,102.0,276.2,1.86,210.0,100103.0
20180101:1300,15.96,43.6,489.0,825.85,94.0,278.4,2.07,218.0,100006.0
20180101:1400,16.32,42.0,403.0,768.88,90.0,280.4,2.28,216.0,99899.0
20180101:1500,16.16,44.1,266.0,643.55,78.0,282.6,2.34,209.0,99812.0
20180101:1600,15.53,49.85,106.0,445.98,43.0,282.0,2.14,211.0,99812.0
20180101:1700,14.51,57.65,0.0,-0.0,0.0,279.2,1.72,223.0,99812.0
20180101:1800,13.49,66.8,0.0,-0.0,0.0,277.2,1.72,251.0,99832.0
20180101:1900,12.39,74.6,0.0,-0.0,0.0,278.6,1.79,270.0,99841.0
20180101:2000,11.43,72.3,0.0,-0.0,0.0,275.0,1.66,288.0,99899.0
20180101:2100,10.66,68.45,0.0,-0.0,0.0,273.6,1.72,299.0,99899.0
20180101:2200,9.81,66.9,0.0,-0.0,0.0,273.4,1.86,312.0,99919.0
20180101:2300,9.33,65.8,0.0,-0.0,0.0,277.4,1.86,327.0,99929.0
20180102:0000,8.88,67.8,0.0,-0.0,0.0,272.6,1.93,338.0,99909.0
20180102:0100,8.15,70.85,0.0,-0.0,0.0,268.4,2.0,345.0,99861.0
20180102:0200,7.66,71.7,0.0,-0.0,0.0,265.4,2.07,349.0,99861.0
